County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Scott County ,51169,39,5,274,5,45,4,273,7,83,22,353,8,79,4,309,16,83,3,290,8,57,10,446,13,115,11,544,15,117,26,459,23,162,35,712,27,108,30,511,14,68,24,388,19,64,9,470,15
Shenandoah County ,51171,80,15,55,28,59,10,49,47,65,17,71,33,95,8,110,36,148,27,341,66,239,35,263,40,185,16,309,29,123,55,326,30,202,72,441,39,137,61,310,27,105,45,283,23,83,20,217,25
Smyth County ,51173,148,17,512,34,147,20,574,33,164,46,540,36,182,75,588,39,230,91,697,37,168,90,645,26,214,95,761,34,161,95,702,34,233,110,1021,29,146,53,637,23,126,73,509,31,135,87,529,31
Southampton County ,51175,35,13,82,8,37,16,42,8,34,12,69,13,46,20,21,9,33,12,24,8,24,22,22,8,17,12,18,2,27,16,22,4,32,4,54,13,22,17,18,3,25,14,27,8,13,5,24,5
Spotsylvania County ,51177,276,42,859,76,288,50,886,48,268,55,626,43,214,85,627,70,231,48,619,64,316,65,686,68,380,76,793,53,368,43,696,53,469,56,966,83,236,31,520,36,223,37,355,40,192,49,408,47
Stafford County ,51179,77,5,175,37,125,5,304,40,151,28,373,50,150,62,371,28,150,55,404,42,191,61,465,59,195,124,511,29,197,216,653,39,322,182,1029,53,210,84,675,72,192,107,489,61,151,150,487,56
Surry County ,51181,6,3,18,2,13,1,44,0,11,-,31,5,4,2,28,1,9,3,45,4,12,8,33,1,16,2,16,6,11,7,38,2,17,7,40,4,12,2,25,2,17,14,31,0,7,2,15,2
Sussex County ,51183,23,-,61,7,13,3,32,6,14,2,58,4,7,1,46,7,7,0,43,-,18,2,30,7,6,4,50,3,15,-,77,3,40,4,95,7,16,14,73,9,19,6,50,2,11,1,28,5
Tazewell County ,51185,207,20,405,38,169,19,368,32,149,30,405,27,132,45,336,35,138,46,348,19,164,52,530,18,169,65,558,24,151,47,588,23,236,94,912,46,170,71,587,38,92,77,542,24,84,60,427,32
Warren County ,51187,70,7,158,22,54,2,134,23,63,4,152,25,80,9,176,20,88,3,193,11,74,3,139,13,61,10,120,7,97,21,215,19,125,23,270,24,122,10,137,11,129,38,195,24,100,47,239,15
Washington County ,51191,118,29,335,26,177,50,550,28,194,76,697,37,200,64,703,37,158,56,580,27,170,20,622,31,142,32,750,32,205,60,850,35,294,95,1018,54,639,120,1134,34,148,48,638,26,128,80,609,24
Westmoreland County ,51193,36,11,65,5,37,12,69,14,73,29,130,12,79,16,165,8,41,6,100,9,26,6,90,10,31,5,69,4,62,4,101,6,105,14,161,8,78,10,182,1,31,8,152,7,76,30,164,18
Wise County ,51195,192,5,960,37,194,16,907,27,134,15,944,37,167,12,914,18,161,21,1037,16,167,33,978,25,152,33,1017,24,155,25,1178,25,199,27,1625,32,108,11,910,33,106,14,890,26,100,59,924,32
Wythe County ,51197,105,18,344,23,123,12,337,16,111,34,353,26,103,47,421,23,129,50,499,15,125,38,511,14,153,50,468,17,122,73,425,16,190,121,679,18,94,57,372,13,90,25,390,12,69,28,341,14
York County ,51199,173,58,273,38,171,70,306,20,190,35,373,35,151,82,304,30,140,61,287,9,125,68,214,11,136,84,161,22,145,87,245,38,271,162,419,53,154,73,229,17,135,100,220,15,160,96,204,30
Alexandria city ,51510,278,101,413,61,307,71,366,59,320,65,369,44,262,69,392,33,293,69,389,56,275,72,453,32,241,101,449,14,208,93,436,29,312,141,722,38,233,113,483,35,258,139,500,32,145,120,375,38
Bristol city ,51520,131,37,351,38,139,44,376,34,99,35,355,43,98,34,265,30,81,23,217,24,74,26,243,23,57,12,190,22,182,67,429,49,251,79,765,46,175,28,515,23,115,19,424,19,115,34,535,29
Buena Vista city ,51530,4,-,44,1,6,-,55,3,8,1,62,1,17,-,29,0,9,-,28,3,35,-,35,1,4,1,58,3,14,8,62,11,8,8,31,7,14,7,44,1,1,-,2,-,1,-,5,-
Charlottesville city ,51540,97,28,239,36,115,38,319,45,121,35,391,28,110,60,312,18,84,57,235,17,123,38,286,9,108,88,469,17,104,153,563,28,145,205,812,47,89,65,354,19,100,57,296,8,69,80,240,15
Chesapeake city ,51550,464,162,882,78,375,139,742,106,429,121,960,95,414,15,972,78,401,23,925,66,378,21,960,88,375,67,865,76,324,179,1148,79,629,330,1758,107,572,265,1128,95,472,126,1103,76,483,128,816,69
Colonial Heights,51570,14,1,68,7,19,2,61,9,22,1,48,7,11,3,44,9,23,0,61,5,16,1,60,2,15,0,63,4,8,1,25,4,14,,,4,1,-,4,2,-,-,3,-,8,-,13,1
Covington city ,51580,20,2,68,2,8,3,50,2,15,3,42,8,14,7,26,3,22,4,65,6,30,4,67,7,26,5,34,0,46,9,75,5,74,11,86,5,12,8,23,1,18,11,29,2,22,6,23,1
Danville city ,51590,115,4,376,26,101,0,303,40,144,19,525,24,127,27,439,36,143,40,419,24,121,51,399,19,188,90,483,19,190,49,385,27,252,64,418,22,127,35,195,23,112,43,210,14,95,26,204,26
Emporia city ,51595,5,1,37,0,3,1,25,2,11,-,31,1,4,-,12,-,1,1,1,-,1,-,4,-,4,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,4,-,9,-,9,1
Fairfax city ,51600,1366,-,-,327,1317,,,296,1334,,,304,-,-,-,-,-,,,-,1064,717,1654,195,- ,-,1,- ,-,2,-,-,-,2,4,-,-,-,-,-,1,-,-,-,-,-,0,-
Falls Church city ,51610,-,-,4,-,2,0,0,0,-,-,1,-,-,-,-,-,-,,,-,-,-,-,-,- ,-,-,-,-,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,,,-
Franklin city ,51620,28,5,48,11,46,0,56,11,35,3,82,10,38,1,51,11,34,15,49,4,13,1,78,10,28,8,46,6,15,19,46,7,26,4,75,3,29,14,51,5,40,8,71,4,15,13,56,2
Fredericksburg city ,51630,88,10,161,16,51,26,166,18,63,22,156,13,77,32,201,8,48,55,237,11,62,56,214,9,79,20,253,28,70,12,281,22,103,17,408,18,106,19,251,13,53,10,208,14,48,18,210,13
Galax city ,51640,21,2,55,7,15,-,26,-,26,2,85,4,8,14,53,13,9,-,39,0,14,3,45,2,23,4,34,5,18,3,54,1,35,12,103,6,24,33,85,11,25,21,130,6,23,52,133,16
Hampton city ,51650,291,15,620,79,323,7,566,61,359,28,498,51,274,8,373,37,258,2,237,49,205,6,167,32,172,29,203,26,251,117,343,53,367,157,694,61,323,51,464,71,232,47,417,45,184,90,438,54
Harrisonburg city ,51660,100,14,305,34,91,9,316,42,74,5,255,18,87,8,278,16,103,17,299,18,106,9,311,32,126,26,377,31,182,11,414,19,290,15,678,38,148,40,375,35,131,49,357,10,98,35,225,18
Hopewell,51670,70,7,146,34,62,16,175,16,47,19,103,16,82,27,206,24,79,28,183,20,69,19,136,16,78,44,248,13,55,38,165,16,83,,,19,67,34,215,10,64,41,153,8,50,67,155,17
Lexington city ,51678,1,-,11,2,1,-,8,1,1,-,29,-,2,-,21,2,1,0,9,0,2,-,6,0,3,-,11,1,6,-,20,2,-,-,8,-,1,1,5,-,-,-,-,-,-,-,3,-
